Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,71,STL,T.J. McDonald\McDoTJ00,DB,22,2018,0,0,6,25,20,75,0,0,0,0,0,0,0,0,0,0,0,309,8,5.0,USC,College Stats
3,72,NYJ,Brian Winters\WintBr00,G,22,2018,0,0,5,24,24,80,0,0,0,0,0,0,0,0,0,0,0,1,,,Kent St.,
3,73,TAM,Mike Glennon\GlenMi00,QB,23,2018,0,0,1,13,11,27,482,791,5107,35,20,41,90,0,0,0,0,2,,,North Carolina St.,College Stats
3,74,DAL,Terrance Williams\WillTe01,WR,23,2018,0,0,4,28,28,83,0,0,0,0,0,5,19,0,232,3377,20,4,,,Baylor,College Stats
3,75,NOR,Terron Armstead\ArmsTe00,T,22,2018,0,1,4,36,36,60,0,0,0,0,0,0,0,0,0,0,0,1,,,Ark-Pine Bluff,
3,76,SDG,Keenan Allen\AlleKe00,WR,21,2018,0,2,5,42,42,70,0,0,0,0,0,11,84,0,420,5206,28,8,1,,California,College Stats
3,77,MIA,Dallas Thomas\ThomDa04,T,23,2016,0,0,1,12,12,37,0,0,0,0,0,0,0,0,0,0,0,1,,,Tennessee,
3,78,BUF,Marquise Goodwin\GoodMa00,WR,22,2018,0,0,3,16,6,66,0,0,0,0,0,14,74,0,128,2137,12,3,,,Texas,College Stats
3,79,PIT,Markus Wheaton\WheaMa00,WR,22,2018,0,0,2,13,13,59,0,0,0,0,0,4,19,0,110,1559,8,10,,,Oregon St.,College Stats
3,80,DAL,J.J. Wilcox\WilcJ.00,DB,22,2018,0,0,2,16,15,77,0,0,0,0,0,0,0,0,0,0,0,171,6,,Georgia Southern,
3,81,NYG,Damontre Moore\MoorDa01,DE,20,2018,0,0,0,4,4,54,0,0,0,0,0,0,0,0,0,0,0,56,,10.0,Texas A&M,College Stats
3,82,NOR,John Jenkins\JenkJo00,DT,24,2018,0,0,1,12,10,66,0,0,0,0,0,0,0,0,0,0,0,72,,1.5,Georgia,College Stats
3,83,NWE,Logan Ryan\RyanLo00,DB,22,2018,0,0,4,26,16,93,0,0,0,0,0,0,0,0,0,0,0,306,13,6.5,Rutgers,College Stats
3,84,CIN,Shawn Williams\WillSh02,DB,22,2018,0,0,3,19,19,90,0,0,0,0,0,0,0,0,0,0,0,210,11,2.0,Georgia,College Stats
3,85,WAS,Jordan Reed\ReedJo02,TE,23,2018,0,1,1,24,24,65,0,0,0,0,0,1,18,0,329,3371,24,3,,,Florida,College Stats
3,86,IND,Hugh Thornton\ThorHu00,G,22,2015,0,0,3,16,16,37,0,0,0,0,0,0,0,0,0,0,0,4,,,Illinois,College Stats
3,87,SEA,Jordan Hill\HillJo01,DT,22,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,31,1,7.0,Penn St.,College Stats
3,88,SFO,Corey Lemonier\LemoCo00,DE,21,2016,0,0,0,4,3,51,0,0,0,0,0,0,0,0,0,0,0,35,,3.0,Auburn,College Stats
3,89,HOU,Brennan Williams\WillBr03,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats
3,90,DEN,Kayvon Webster\WebsKa00,DB,22,2018,0,0,1,9,4,67,0,0,0,0,0,0,0,0,0,0,0,99,2,,South Florida,College Stats
3,91,NWE,Duron Harmon\HarmDu00,DB,22,2018,0,0,0,13,13,95,0,0,0,0,0,0,0,0,0,0,0,117,15,,Rutgers,College Stats
3,92,STL,Stedman Bailey\BailSt01,WR,22,2015,0,0,0,7,7,38,0,0,0,0,0,3,46,1,59,843,2,8,,,West Virginia,College Stats
3,93,MIA,Will Davis\DaviWi02,DB,23,2016,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,26,1,,Utah St.,College Stats
3,94,BAL,Brandon Williams\WillBr02,DT,24,2018,0,1,5,38,38,83,0,0,0,0,0,0,0,0,0,0,0,140,,5.5,Missouri Southern,
3,95,HOU,Sam Montgomery\MontSa00,DE,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
3,96,KAN,Knile Davis\DaviKn00,RB,21,2016,0,0,0,10,10,57,0,0,0,0,0,250,805,11,34,271,1,1,,,Arkansas,College Stats
3,97,TEN,Zaviar Gooden\GoodZa00,LB,23,2016,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,29,,,Missouri,College Stats
4,98,PHI,Matt Barkley\BarkMa00,QB,22,2018,0,0,0,3,1,12,174,291,2143,10,18,15,-2,0,1,2,1,,,,USC,College Stats
